func/room1/ahum {"time":1618825800944053000,"value":8.639091242147579}
func/room2/ahum {"time":1618825800944053000,"value":10.23133645092664}
func/room2/ahum {"time":1618825801944053000,"value":58.927824619222186}
func/room1/ahum {"time":1618825801944053000,"value":55.26609434078813}
func/room1/ahum {"time":1618825802944053000,"value":235.09894068910822}
func/room2/ahum {"time":1618825802944053000,"value":220.28769909444048}
func/room2/ahum {"time":1618825803944053000,"value":226.24350817285907}
func/room1/ahum {"time":1618825803944053000,"value":274.01069496639934}
func/room2/ahum {"time":1618825804944053000,"value":238.74617862265475}
func/room1/ahum {"time":1618825804944053000,"value":326.86148209849586}
func/room1/ahum {"time":1618825805944053000,"value":371.37974518450005}
func/room2/ahum {"time":1618825805944053000,"value":291.379254187048}
func/room2/ahum {"time":1618825806944053000,"value":329.1256440171439}
func/room1/ahum {"time":1618825806944053000,"value":430.1355789378021}
func/room2/ahum {"time":1618825807944053000,"value":405.2933459637378}
func/room1/ahum {"time":1618825807944053000,"value":484.39240540600275}
func/room1/ahum {"time":1618825808944053000,"value":548.8375450293175}
func/room2/ahum {"time":1618825808944053000,"value":470.1829680054766}
func/room2/ahum {"time":1618825809944053000,"value":556.9423606103252}
func/room1/ahum {"time":1618825809944053000,"value":560.0418773946789}
func/room1/ahum {"time":1618825810944053000,"value":452.7136121787219}
func/room2/ahum {"time":1618825810944053000,"value":583.2820320918778}
func/room1/ahum {"time":1618825811944053000,"value":296.2526966537522}
func/room2/ahum {"time":1618825811944053000,"value":516.9377006683372}
func/room1/ahum {"time":1618825812944053000,"value":212.91411812659746}
func/room2/ahum {"time":1618825812944053000,"value":378.60278470233067}
func/room2/ahum {"time":1618825813944053000,"value":277.54839584414236}
func/room1/ahum {"time":1618825813944053000,"value":195.5217917453336}
func/room1/ahum {"time":1618825814944053000,"value":235.0989406891082}
func/room2/ahum {"time":1618825814944053000,"value":220.28769909444026}
func/room2/ahum {"time":1618825815944053000,"value":226.2435081728591}
func/room1/ahum {"time":1618825815944053000,"value":274.0106949663993}
func/room1/ahum {"time":1618825816944053000,"value":326.8614820984958}
func/room2/ahum {"time":1618825816944053000,"value":238.74617862265447}
func/room2/ahum {"time":1618825817944053000,"value":291.37925418704754}
func/room1/ahum {"time":1618825817944053000,"value":371.3797451845}
func/room1/ahum {"time":1618825818944053000,"value":430.135578937802}
func/room2/ahum {"time":1618825818944053000,"value":329.1256440171439}
func/room2/ahum {"time":1618825819944053000,"value":405.2933459637378}
func/room1/ahum {"time":1618825819944053000,"value":484.39240540600275}
func/room1/ahum {"time":1618825820944053000,"value":548.8375450293175}
func/room2/ahum {"time":1618825820944053000,"value":470.1829680054766}
func/room2/ahum {"time":1618825821944053000,"value":556.9423606103252}
func/room1/ahum {"time":1618825821944053000,"value":560.0418773946789}
func/room1/ahum {"time":1618825822944053000,"value":452.7136121787219}
func/room2/ahum {"time":1618825822944053000,"value":583.2820320918778}
func/room1/ahum {"time":1618825823944053000,"value":296.2526966537522}
func/room2/ahum {"time":1618825823944053000,"value":516.9377006683372}
func/room2/ahum {"time":1618825824944053000,"value":378.60278470233067}
func/room1/ahum {"time":1618825824944053000,"value":212.91411812659746}
func/room2/ahum {"time":1618825825944053000,"value":277.54839584414236}
func/room1/ahum {"time":1618825825944053000,"value":195.5217917453336}
func/room2/ahum {"time":1618825826944053000,"value":220.28769909444026}
func/room1/ahum {"time":1618825826944053000,"value":235.0989406891082}
func/room1/ahum {"time":1618825827944053000,"value":274.0106949663993}
func/room2/ahum {"time":1618825827944053000,"value":226.2435081728591}
func/room2/ahum {"time":1618825828944053000,"value":238.74617862265447}
func/room1/ahum {"time":1618825828944053000,"value":326.8614820984958}
func/room1/ahum {"time":1618825829944053000,"value":371.3797451845}
func/room2/ahum {"time":1618825829944053000,"value":291.37925418704754}
func/room2/ahum {"time":1618825830944053000,"value":329.1256440171439}
func/room1/ahum {"time":1618825830944053000,"value":430.135578937802}
func/room2/ahum {"time":1618825831944053000,"value":405.2933459637378}
func/room1/ahum {"time":1618825831944053000,"value":484.39240540600275}
func/room2/ahum {"time":1618825832944053000,"value":470.1829680054766}
func/room1/ahum {"time":1618825832944053000,"value":548.8375450293175}
func/room1/ahum {"time":1618825833944053000,"value":560.0418773946789}
func/room2/ahum {"time":1618825833944053000,"value":556.9423606103252}
func/room2/ahum {"time":1618825834944053000,"value":583.2820320918778}
func/room1/ahum {"time":1618825834944053000,"value":452.7136121787219}
func/room1/ahum {"time":1618825835944053000,"value":296.2526966537522}
func/room2/ahum {"time":1618825835944053000,"value":516.9377006683372}
func/room2/ahum {"time":1618825836944053000,"value":378.60278470233067}
func/room1/ahum {"time":1618825836944053000,"value":212.91411812659746}
func/room1/ahum {"time":1618825837944053000,"value":195.5217917453336}
func/room2/ahum {"time":1618825837944053000,"value":277.54839584414236}
func/room2/ahum {"time":1618825838944053000,"value":220.28769909444026}
func/room1/ahum {"time":1618825838944053000,"value":235.0989406891082}
func/room1/ahum {"time":1618825839944053000,"value":274.0106949663993}
func/room2/ahum {"time":1618825839944053000,"value":226.2435081728591}
func/room1/ahum {"time":1618825840944053000,"value":326.8614820984958}
func/room2/ahum {"time":1618825840944053000,"value":238.74617862265447}
